,STL Sort,Radix Sort(Base 10),Radix Sort(Base 2^16),Shell Sort,Heap Sort,Merge Sort,Quick Sort(Three Way),Quick Sort(Randomized),Quick Sort(Simple)
1000,0,0,0,999,0,0,0,0,0
2000,1000,0,0,0,999,0,0,0,1000
3000,0,0,1008,0,992,0,0,0,0
4000,999,0,0,0,999,1006,0,987,0
5000,0,985,0,1000,1008,999,0,1006,989
6000,1010,0,1000,1001,999,1000,1000,987,0
7000,999,1000,0,1000,3000,1000,999,1000,1000
8000,986,999,1001,999,2000,2003,998,1006,1000
9000,1000,1000,0,2000,2000,994,1006,1000,994
10000,2006,0,1013,1988,2021,2018,1002,999,999
11000,2000,0,994,2000,2007,2000,2000,1000,2000
12000,2000,994,0,2993,2000,2862,996,2014,931
13000,2009,1000,0,3000,3000,2000,2001,1985,1000
14000,2009,999,1006,1994,3039,2969,1993,2006,1000
15000,3006,1000,0,3000,2994,3006,1000,2000,1000
16000,2851,1001,0,3999,2994,3006,2000,3000,1000
17000,2879,999,1000,3986,3001,4007,2006,1987,2001
18000,3005,1000,1000,3994,4007,3000,2000,3000,2000
19000,3162,838,1000,4000,4000,3994,2006,2000,2000
20000,4000,1000,1000,5001,4000,4000,1994,3006,3000
21000,4000,1000,0,5001,5001,4000,3000,3000,2000
22000,4001,999,1000,5000,5001,4000,3000,3001,3000
23000,4001,999,1000,5001,4988,5014,2998,3003,3000
24000,4001,999,0,6001,5001,5001,3000,3000,3001
25000,5001,1000,1000,6001,6001,5001,3000,3001,2987
26000,5014,2000,1001,5994,6007,5001,2994,4006,3000
27000,5001,2000,1000,6001,6001,5001,4000,3000,3000
28000,5001,2000,1000,6001,6000,6001,4000,4000,3001
29000,5001,3000,0,6000,7001,6001,4000,4000,3000
30000,6001,2000,999,7001,7001,6001,4000,4000,4001
31000,5001,2994,994,7013,7001,7001,4000,4001,4000
32000,6001,2000,1000,8001,7995,6007,3000,4000,4000
33000,6001,3000,1000,8001,8001,5987,4014,4000,4001
34000,6001,3000,1000,8002,7001,7015,4000,5001,4001
35000,6001,2000,1000,8002,8001,7001,4001,5000,4000
36000,7001,3187,807,8012,7999,7989,3999,5001,5001
37000,7002,3001,1000,9009,9008,8002,4000,6001,4000
38000,6995,3006,1000,8996,8007,8001,4013,6001,4000
39000,7001,3000,1000,10001,11990,8000,5009,6008,4000
40000,7001,3000,1000,10002,9002,8001,5001,5041,4961
41000,8001,3001,2000,13003,9002,8996,5007,6001,5001
42000,8001,4000,1000,10002,10002,9002,5001,6001,5001
43000,8001,3000,1000,10002,9792,9007,6001,6001,5001
44000,8001,3000,2000,11002,10002,9002,6001,6001,5001
45000,7996,2998,1000,11002,11002,10002,5001,7001,5001
46000,8001,4001,1000,11003,10002,10002,6001,7001,5001
47000,9002,4001,1000,12002,10996,10008,5995,6007,5001
48000,9001,4000,1000,12002,12002,10002,6001,7002,6000
49000,9002,4000,999,11996,12008,10002,6001,7001,6001
50000,10002,4000,1000,13002,12002,11002,6001,7001,6001
51000,9989,4000,2000,12015,12002,11002,6001,7002,6001
52000,10002,4000,999,12989,12008,11003,7001,7001,7001
53000,10002,5000,1000,14003,13003,10996,7008,8001,7001
54000,10002,5001,1000,14003,14003,12002,7001,8001,6001
55000,10002,5001,1000,13990,13015,12002,7001,8001,7002
56000,10002,5001,2000,14003,14003,12002,7001,8001,7001
57000,11002,4000,1000,14002,14003,12002,7001,8001,7001
58000,10002,4000,2001,15002,15003,12002,8002,8001,7001
59000,11002,4001,1000,15004,14002,13002,8002,8002,7001
60000,11002,5001,1000,15002,15003,13002,7001,8002,7001
61000,12002,5001,2000,16006,16000,15003,8008,8001,8001
62000,11009,5001,1000,15003,15002,14003,8001,8001,8002
63000,12002,5001,2000,16003,15003,13002,7989,9014,8002
64000,11996,5001,1000,19004,15002,12993,8017,9004,8002
65000,11996,6001,1006,16010,15997,14003,8988,9001,9001
66000,13003,5001,2000,18004,16003,14003,9001,9002,8001
67000,13003,6001,2001,19003,16003,15003,8002,10002,8001
68000,13015,6000,2001,18003,16003,15003,9002,9001,8001
69000,13002,6001,2000,18003,17003,15003,9001,10002,8003
70000,13002,6001,2000,19004,17003,16003,9002,10002,8001
71000,12997,6006,2000,18004,18003,15003,8002,10002,8001
72000,13002,5001,1000,19004,17003,15003,9001,10002,9002
73000,14002,5001,1000,19004,18004,16003,9002,10002,9990
74000,14011,6001,2000,21005,18003,16003,10002,10002,9001
75000,14003,6001,2000,19004,19004,19004,10002,11002,10002
76000,14003,7001,2000,20004,19004,17003,10002,10002,10002
77000,15003,6001,2000,20004,19004,17003,9988,11016,10002
78000,15003,7001,2000,21004,18998,17009,9002,10002,9002
79000,15003,6001,2000,20004,23003,19005,10002,11002,10002
80000,16003,6001,2001,22004,20004,18003,10002,11002,10002
81000,17018,6997,2000,22011,21005,17996,10008,11627,10001
82000,14996,5998,2000,27006,20010,18997,11008,10996,10008
83000,16003,7002,2000,22004,21004,18984,10002,11002,10002
84000,18004,7001,2001,25005,21004,20006,10000,12003,10001
85000,16016,7001,2000,24005,22004,19004,11002,12003,10002
86000,16003,7001,2001,24004,21004,19005,11001,12002,11002
87000,17003,7001,2000,23011,22005,20004,11002,12002,11002
88000,16003,7001,1994,24011,22004,20004,10990,13015,10002
89000,18004,7001,2000,25005,23005,19004,11002,12002,11002
90000,18003,7002,3000,24005,23005,21004,11002,12002,11002
91000,17003,7002,2000,25005,23005,21990,13017,14002,12996
92000,17003,7001,2988,30013,26856,21004,12002,13003,12003
93000,18004,7001,2001,25004,23005,21004,11008,12002,11004
94000,18004,7001,3000,26006,25005,22004,13003,13003,11002
95000,18004,8001,3001,25005,24005,21004,12002,13002,12002
96000,19003,8006,1996,28006,25005,22005,12002,14003,12002
97000,18017,8001,3000,25999,25012,22004,12002,14003,12002
98000,19003,8001,2994,26012,25012,25005,13003,15003,13003
99000,18004,8001,1994,29012,25005,22005,12002,13007,11998
100000,19004,8001,2000,28000,25008,23005,13002,14003,12002
101000,19009,8011,2006,29006,26005,22004,12008,14003,12002
102000,20004,8001,2000,28006,27005,24005,15003,14004,12002
103000,20004,8001,2000,28006,26006,24005,14002,14003,13002
104000,20004,9002,3001,30006,27006,23005,13003,15003,13002
105000,20004,8987,3000,33012,30006,27006,15003,15003,13002
106000,21004,8001,2000,29993,29020,24005,14003,15002,14003
107000,19998,9002,2001,30006,27006,25005,13003,15002,13002
108000,21004,9002,2000,30006,27006,24005,14002,15003,14003
109000,21014,9002,2000,29006,28006,25005,14002,15003,14003
110000,21004,9001,2001,31006,28006,25006,14002,15002,14003
111000,22004,9002,3001,34007,32007,25005,14002,16003,13002
112000,22004,9002,2001,33006,30006,25005,14990,16016,14003
113000,22004,9002,3000,31007,30006,25005,15003,16003,13002
114000,22019,9002,3000,32007,29006,26005,15003,15002,14003
115000,23005,9002,3001,34007,30006,26005,14003,15003,13997
116000,23005,9001,1999,33007,32007,27006,16003,16997,14009
117000,23991,9015,3000,32007,30006,26005,14003,16004,14002
118000,23004,10002,3000,32007,29993,27019,15003,16003,15003
119000,23011,10002,3000,34007,31007,27005,15003,17004,14002
120000,24005,10002,3000,33001,31006,28006,15003,17003,15022
121000,24019,10002,3001,34006,31006,28007,16002,16003,15003
122000,23004,10002,2999,33007,32007,33007,17004,19003,16003
123000,23004,9002,3000,38008,35007,32008,17003,18003,17003
124000,24005,11002,3000,35003,33011,28006,16003,16997,15003
125000,24004,10002,4001,35007,33007,28993,16003,18004,15002
126000,24005,10003,3000,35007,33006,29006,16003,17003,15003
