,STL Sort,Radix Sort(Base 10),Radix Sort(Base 2^16),Shell Sort,Heap Sort,Merge Sort,Quick Sort(Three Way),Quick Sort(Randomized),Quick Sort(Simple)
127000,24005,11002,3001,41008,33007,29006,18003,19004,18004
128000,25005,10002,4001,43009,34007,29005,17003,18004,16004
129000,25005,11002,4004,35004,33006,30006,16003,17003,15003
130000,25005,10002,4000,37008,34007,30006,17003,18004,16003
131000,25005,10002,3000,37008,37007,31008,16003,18016,16003
132000,25005,10002,3000,40021,35007,30007,17003,18004,16990
133000,26006,10002,4001,39008,35007,30006,17003,18003,17004
134000,26006,11003,4001,38007,35007,30006,18004,19004,17003
135000,26005,11002,3000,38008,36007,30006,17004,19005,16003
136000,26005,10002,3000,41009,38008,32007,17004,19004,17003
137000,27005,11002,3000,38008,36007,32008,18002,19004,17003
138000,27004,11002,3001,40009,37007,32007,18004,19004,16003
139000,27006,11002,3001,40008,36008,31006,17002,19004,18003
140000,27005,11003,3001,42009,37007,32007,18003,19004,17003
141000,28006,11002,4001,40008,37008,33007,18004,19005,18003
142000,28005,12002,3001,41008,37008,33007,18003,20004,17003
143000,28005,12002,3001,40009,38007,32006,18003,22006,17003
144000,28019,12003,3992,42017,39008,33007,19003,20004,18004
145000,29006,11002,3001,42008,38008,33006,18004,20004,18003
146000,28006,11997,4006,41009,39009,33019,19004,20004,18014
147000,28012,11002,4001,43009,39009,33006,18003,19883,19004
148000,28992,12003,3001,46009,39008,34008,19003,20004,19003
149000,30006,12001,4001,44022,40008,34007,18999,21011,18003
150000,28993,12015,2994,43015,40009,34007,20004,21004,18016
151000,29006,12998,4005,44010,40010,35013,19003,21004,18004
152000,29006,12002,2994,43009,40008,35007,19004,21004,19004
153000,30006,12991,4000,44022,45023,35007,20004,21004,19004
154000,30006,13002,3994,44015,42009,35008,20004,21005,19003
155000,30006,12002,4001,45009,42009,36008,20004,22005,19003
156000,30006,12002,3994,46016,42009,37008,20004,22005,19003
157000,31006,12002,4000,46010,42009,35008,20008,22000,19004
158000,31006,13002,4001,45010,42009,36007,21005,22004,19017
159000,31006,13003,4001,47009,44010,36008,21004,22004,20004
160000,31006,12003,4000,49010,43009,36007,20003,22005,20003
161000,31006,12999,4004,46010,42022,37008,20004,22005,20004
162000,32007,13003,4000,47010,43009,37008,21005,22004,21005
163000,32007,13003,4000,47010,44003,37014,20782,23004,20004
164000,33007,13002,4003,64011,46010,38008,21004,23005,20004
165000,32007,13003,3994,51011,44010,38008,21004,24005,20004
166000,31993,14003,4014,49010,46010,41009,21004,23005,22999
167000,33007,14003,4000,49011,51005,38014,22004,24005,21004
168000,33994,13002,5001,51011,46010,39008,23005,24005,22005
169000,33007,13002,4014,49010,46010,38008,21016,23005,21004
170000,33007,14002,4995,52017,46010,39009,22004,25005,21004
171000,34007,14003,4000,50011,45857,39009,20997,23005,21005
172000,34007,13003,4000,52011,47010,39995,22017,24005,21017
173000,34008,14003,4000,50011,46880,40009,23004,24005,22004
174000,34007,14003,5001,50010,47010,41009,22004,24005,21017
175000,35007,14003,4001,49999,48016,40009,23005,24005,22005
176000,34007,14003,3994,53011,47010,40009,22004,24005,22001
177000,35007,14990,4015,52010,48023,41009,22018,24005,22004
178000,34006,14003,5001,54011,51011,42009,23005,25005,22004
179000,35007,14003,5001,53011,49011,42009,23999,25012,22004
180000,35007,14003,5001,53011,49011,41009,23005,24999,22011
181000,36008,15003,4001,57011,49024,42009,23005,26006,22004
182000,36008,15003,5001,57012,50011,42009,23016,26005,23005
183000,36002,14008,3996,55012,50011,42003,24011,26005,23005
184000,36008,14988,4014,54012,50004,42015,23005,25005,23005
185000,36007,15003,6000,63014,54011,44010,24005,26005,23005
186000,37008,15003,4000,56012,50009,43005,24005,26005,23005
187000,37008,15003,5000,56012,51011,45011,24005,26019,23017
188000,37008,15003,3987,57026,51011,43011,25004,26005,24005
189000,37008,16004,5000,57012,51023,44004,25011,26005,23005
190000,38008,15002,3994,59012,52011,44022,23996,27012,23011
191000,38008,16004,5001,55998,52024,45010,25005,27005,26005
192000,37006,15016,5202,64014,53011,44011,25004,27007,24004
193000,38008,15003,3997,56013,53010,52012,27006,27006,25005
194000,38008,16016,5000,60013,56012,45010,25005,27017,24005
195000,37994,15002,5001,57025,53998,45009,26005,27006,24005
196000,38008,15003,5000,61013,54012,45010,26005,28006,24004
197000,39008,16015,4994,71022,53011,53011,27006,30006,24017
198000,39009,15834,5001,61013,54997,46010,26004,27005,24005
199000,40011,16003,4000,61025,54011,47011,25005,28006,25005
200000,40014,16003,5001,64003,56022,47010,26006,27993,25018
201000,39008,16003,4987,61027,56025,46012,25992,29019,25006
202000,39008,16003,4012,59999,56012,47011,26004,28005,25005
203000,40009,17004,5000,61013,56012,47010,27006,28006,25005
204000,40009,16003,6001,63014,56012,56012,26005,28005,25005
205000,41008,16003,5001,66016,57010,48012,27006,29004,26018
206000,41009,17003,5001,60013,58013,48010,27019,29006,26005
207000,40009,16009,4973,61014,57026,49011,26005,29006,26005
208000,41009,17003,6001,63013,58013,49010,27006,30006,25018
209000,41009,17003,6001,63014,57012,49010,27006,30006,26005
210000,41008,17003,5002,64014,58026,49011,27005,29006,26005
211000,42009,17004,6001,65014,58018,48854,28006,29006,26006
212000,42009,17009,5013,68009,58026,49010,28006,29006,27006
213000,42009,17003,5001,111023,59012,50025,28005,30006,26005
214000,43009,17003,6001,66000,59026,49010,28006,30000,27012
215000,43009,17016,5000,64014,60013,50005,28007,29992,27012
216000,42996,17010,6007,66021,60012,51004,28012,30006,27006
217000,43009,16997,5001,64033,60007,59019,28007,31006,27025
218000,44003,16892,4995,63014,61013,52016,31002,31007,28006
219000,42988,17004,4998,65014,65014,52012,29006,30006,27006
220000,43009,17003,5002,67015,60013,51012,28004,31006,28006
221000,44010,18004,6001,68015,64013,52011,29006,31007,27005
222000,44009,18004,5001,67015,61012,60013,28006,31007,27005
223000,44023,18003,6001,67014,62013,52012,28004,32019,28006
224000,44009,17003,6001,71015,63014,52005,28998,31020,28019
225000,44009,18017,6001,68015,62014,53011,29006,31006,28006
226000,45009,18004,6013,66014,63026,52011,29005,31996,32152
227000,45010,19004,6002,70014,63014,52024,29019,32007,28006
228000,45010,18004,5001,66014,64006,53013,29006,32007,28006
229000,46010,18003,6001,74016,64013,54012,30006,32007,28006
230000,45009,18005,6000,76016,64014,60014,30005,32006,29006
231000,46010,18004,5008,71760,64014,55012,30006,32007,29006
232000,46010,18003,6015,72016,65013,54012,31006,33007,29006
233000,46009,18017,6001,73016,66014,54025,30007,32007,28992
234000,46016,19004,6001,73016,70016,55012,30006,33007,30006
235000,47010,19017,6988,72029,67014,55026,30006,33007,30006
236000,47010,18998,6007,74028,67015,56012,32007,35008,31006
237000,46010,19004,6002,73015,67015,57999,30006,33006,29005
238000,47010,19004,5999,74015,68014,56012,31006,33007,29004
239000,48010,19004,6001,72016,67015,56013,31005,33007,29005
240000,48011,20005,7001,74015,67016,56012,31005,34007,30007
241000,47010,19004,6001,75016,71015,56012,31006,34007,30006
242000,48010,19002,7001,75015,73016,57012,32007,34007,31006
243000,48010,19004,6000,73016,70015,58013,32006,34008,30006
244000,49010,20004,6001,77017,70015,58013,32006,35008,30006
245000,48010,19003,6002,76016,70016,58012,32006,35008,31007
246000,49011,20014,7001,85019,70015,57026,31020,34008,30006
247000,50011,19004,6000,72858,69018,58013,32006,34994,31020
248000,49011,19004,7004,75013,70015,58025,32009,34007,31006
249000,50011,21004,6001,76975,69015,59013,33007,36008,31006
250000,50010,20004,6989,78029,71015,59018,33002,35007,30006
251000,50011,20004,6002,76029,71015,60013,32616,34920,32007
252000,50011,20004,7003,77015,71029,69015,35006,36008,32007
253000,50011,21004,7001,79208,72016,59012,33012,35014,31006
254000,50011,21004,7001,88020,72029,60001,33018,36008,32020
255000,51010,21004,7001,78016,73017,60013,33006,36008,32007
256000,51010,21004,7009,101026,73022,60014,33005,36002,31942
257000,51011,21005,6994,78030,73016,60013,33007,36007,32017
258000,51011,21005,7001,79017,75003,61015,34005,36008,32007
259000,51011,21005,8003,79017,74016,61014,34007,37008,33007
260000,52011,21005,7001,79017,73017,61015,33006,36007,32005
261000,52012,21004,8004,85015,75016,62015,33020,37008,32994
262000,52011,21005,7000,80017,79017,61014,34007,37008,32007
263000,52011,21004,7001,92020,75016,61013,34005,37008,33006
264000,52012,21005,7001,90019,76017,62013,34008,37007,33007
265000,52011,22005,8003,86018,76016,63015,34006,37008,33006
266000,53009,21006,7000,85018,78546,63014,34006,37008,33007
267000,53011,21005,7001,81018,76012,63015,35005,37007,33006
268000,53029,22005,7001,83019,76015,64014,37008,43009,33007
269000,54012,22005,8001,83019,83017,64014,35006,37006,33006
270000,53011,21004,6999,83018,77016,64015,35006,37007,33006
271000,54012,22005,8002,86017,76016,65014,35008,39009,34006
272000,54011,22005,7002,85018,78017,65014,35006,39009,34009
273000,55029,22004,7013,98022,89019,67021,36008,39008,35007
274000,56012,23005,8002,91020,79010,66019,36014,40003,35013
275000,56031,23004,8001,91020,80164,67027,36007,39028,34014
276000,56018,23005,8001,91020,79017,66026,36996,39008,35007
277000,56012,22005,7020,105857,79005,67021,36008,45024,35007
278000,56012,22998,8001,89020,80024,66008,37014,40003,35013
279000,56992,23025,8001,93021,80037,66014,36008,40028,35001
280000,57006,23005,7001,90038,80018,67014,36008,40008,35026
281000,57012,22992,8014,87013,85025,67002,37014,40015,35008
282000,57012,22992,8001,90032,81011,67015,37008,40021,36008
283000,57019,23005,7878,93020,81037,67014,36020,39845,35014
284000,57012,22004,8001,88019,83018,68015,37007,39008,36007
285000,57018,21998,8008,88019,83018,68785,38002,40000,36016
286000,57000,23017,7989,91033,82036,68015,37008,40008,37008
287000,59013,24005,8002,94008,83024,68015,38002,40015,36008
288000,58018,24005,8001,96022,84018,69022,37025,41009,36008
289000,58012,24011,7995,90001,102022,71034,38002,41015,36026
290000,59012,24011,8001,91019,85018,70022,38020,41009,38006
291000,59014,24025,10002,91015,92018,70008,37006,42020,37002
292000,58019,24019,9001,93020,85005,70017,38007,45005,37008
293000,63012,24005,9001,94021,84017,70017,38006,42009,37008
294000,59011,24005,9002,98021,85018,71015,39009,42008,36007
295000,60014,24006,9000,130042,87032,70029,38018,41009,36752
296000,58012,24004,9003,98020,90020,71016,39008,42010,37008
297000,59013,24006,8001,96020,90033,71015,38996,45021,37008
298000,59013,24005,9002,103023,102034,71015,39046,42023,38008
299000,60012,24005,8001,94021,87019,71015,38008,42009,37008
300000,59012,24016,8013,95033,87019,72016,39008,42009,38015
301000,61019,24004,9008,99022,87018,72023,39009,42988,37022
302000,61013,24999,10008,96015,87032,73016,40017,43001,38994
303000,61014,24005,9002,95021,88019,72013,39008,42009,38008
304000,61013,24005,8000,97021,88019,73016,39007,43008,38008
305000,61013,24005,9003,95020,89019,73016,40008,43009,38007
306000,62013,25005,7999,96020,89020,73016,40008,43009,37511
307000,61013,25005,9002,96016,90017,73016,40005,44009,39008
308000,62013,25005,9001,98021,91033,73029,40008,43009,39008
309000,61013,25005,8002,100023,89019,73795,40008,44009,38008
310000,64001,25006,9001,97021,90019,74017,40008,45010,39009
311000,62013,25005,9002,96021,91020,75018,40008,43009,39007
312000,63013,26005,11003,102022,89019,87020,40008,44009,39008
313000,62013,25006,9001,103022,91020,75017,44009,44007,39008
314000,63013,26006,9001,99020,92020,75017,41008,44008,40009
315000,64014,26008,10001,98019,92020,76017,42009,44010,39009
316000,64014,26006,10002,97021,91016,76018,42008,45010,40008
317000,64014,27006,10002,103035,97015,75023,41009,45010,40009
318000,64000,26005,10001,103023,92019,77017,42009,44007,40009
319000,64014,25005,9002,101021,93020,76016,42008,45010,41009
320000,65027,26011,10009,111024,93008,77009,42023,45010,40009
321000,64020,26006,10002,98021,95003,76037,42009,46009,40007
322000,65027,25005,10008,103023,94009,77021,41016,45998,40027
323000,65014,26999,10008,100015,100021,90019,42027,47010,41009
324000,66015,25998,9000,102016,95021,78035,42009,45021,40001
325000,66014,26005,10002,108024,96021,78016,42009,46011,42007
326000,65014,26005,10002,105023,95021,78018,43008,46009,41010
327000,66015,26005,10002,107023,95020,78018,43008,46010,42009
328000,65014,27007,10001,133029,97035,78017,43022,46009,41009
329000,66014,27006,10001,112025,97022,78017,42022,46016,41022
330000,66014,27005,10002,107023,97021,79018,43009,47010,41021
331000,66014,27006,9002,111011,97035,79017,43009,47022,42009
332000,66014,27006,10005,109020,97021,79028,44009,48011,42009
333000,66014,27018,10002,104034,98022,81018,47008,47010,42009
334000,66020,27015,10002,105004,97021,79031,43008,47024,42009
335000,67015,27005,10002,106023,99022,81017,45145,49011,42846
336000,67014,27007,10001,118201,99035,80019,44022,47010,42022
337000,69015,27006,10989,105036,99035,81019,46008,49010,42009
338000,68014,27010,9997,110012,99021,81018,44009,47010,42009
339000,68015,28007,10001,107023,103022,82018,44009,48010,43009
340000,69015,27006,10002,120026,99021,82018,45010,47010,43010
341000,68015,27005,11002,115025,101022,84021,45008,49029,44010
342000,70015,28006,10995,117012,102043,89031,45017,48028,43015
343000,70021,28006,10002,112011,100034,83018,44009,48010,43006
344000,69009,27999,10008,116019,102035,83019,44670,48010,43009
345000,69015,28006,11002,124027,101042,84018,45029,49011,44009
346000,70015,28006,10996,114031,103043,84018,45022,48998,44008
347000,71015,28006,13987,109020,102022,84018,46024,49024,44010
348000,70015,28006,11002,115026,102022,97032,45010,49010,43008
349000,71016,29006,11002,113024,109024,85019,45010,49010,42792
350000,71015,28006,10002,113025,101009,84019,46009,49010,44009
351000,70015,28006,11002,110024,113022,84018,46009,49011,44009
352000,71016,28014,10013,124645,108023,100009,50023,50011,44009
353000,71015,29006,11002,115025,104023,86019,45996,51024,45010
354000,71015,29006,11002,117025,105023,85019,47009,51011,45009
355000,72016,29002,10008,113025,106023,85018,46009,50011,44009
356000,71015,28006,11002,114039,106010,85019,46009,50010,45010
357000,72016,29006,11002,116024,107025,86031,47010,51012,44000
358000,72015,30006,11002,114025,106022,86019,50008,51011,45010
359000,72015,29006,10002,115026,105035,86019,46023,51011,45010
360000,72016,29006,11002,121027,107024,87018,47010,50011,45021
361000,72016,29006,11002,130029,106035,89020,47008,51012,45009
362000,73016,29006,10002,125028,107023,87019,47022,52011,46011
363000,73015,29006,10001,117026,108029,87031,48010,52011,46010
364000,72015,29015,10816,118026,113023,89020,47010,52011,46009
365000,73016,30006,11002,117026,108037,87020,48023,52011,46010
366000,73002,30020,11002,123040,108036,88019,48010,51023,46010
367000,73016,29006,11003,136027,108024,89019,50011,52025,46010
368000,74010,34000,13001,122032,113070,88033,47917,52159,46010
369000,73937,30006,12002,121059,111135,90007,49036,53054,46009
370000,74517,29039,11003,119037,110029,89029,49009,52018,46543
371000,74520,30006,11002,116064,111875,89048,48010,52130,46091
372000,75681,30021,12020,118624,110085,89591,48024,52920,47132
373000,75044,30006,11989,121545,111087,89021,49017,52549,47009
374000,75047,30112,11002,124658,114235,90569,50001,58248,46916
375000,75023,30015,12008,124336,115636,90113,48953,52566,47023
376000,77017,30200,11001,127584,112013,90977,49995,53011,47010
377000,75595,30017,11014,139752,113423,90089,49397,53983,47010
378000,75600,31040,12002,122044,113330,91237,48778,53012,47757
379000,76067,30549,12002,121016,114102,90524,49010,53020,47014
380000,76022,30009,12005,122039,114064,91526,50224,53043,47009
381000,76020,31543,11006,132988,119019,110473,50545,54012,48124
382000,78017,31006,11623,124578,114334,91200,49010,54018,47888
383000,77043,31006,12002,130124,114269,93020,50214,53659,48545
384000,77016,31033,11524,143036,115527,93022,50566,54497,49009
385000,77026,31010,12002,129061,114543,93099,51485,55012,48018
386000,79033,31007,12002,130940,116019,92490,50547,55144,49277
387000,78143,31007,12008,130752,114602,93086,50036,54517,48533
388000,78017,31025,12018,128104,113675,92907,51115,60175,53620
389000,78017,31006,11002,133843,114025,92836,53011,55012,48010
390000,78017,31007,12005,132042,115025,94035,52011,57611,51011
391000,78017,32148,12002,123027,117039,96021,53999,56011,49024
392000,79018,32007,12002,140031,117018,93021,51010,56012,49011
393000,79011,32020,12003,134029,118026,95028,51011,56012,50011
394000,79017,32006,13003,158034,120040,95021,51011,55012,50011
395000,79017,32007,12002,141031,124028,95021,54024,55012,50011
396000,80018,32007,12989,132029,119025,96020,52011,56011,51011
397000,80018,32007,13004,134028,118026,97021,52024,55012,50010
398000,81017,32007,12002,131029,120036,97022,52021,56012,50011
399000,81024,33009,13002,151032,134029,96028,51009,56998,50024
400000,80017,33007,13002,139031,121026,96021,52011,56012,50024
401000,81024,33007,12003,130029,119026,97022,51828,57012,50658
402000,81018,33007,12002,127028,121027,97034,53011,57012,50024
403000,81018,33007,12996,129034,123027,114024,52998,57012,51010
404000,81018,33007,13002,137031,121026,99022,53011,58012,50010
405000,81018,34019,12002,140038,120019,98035,54012,58012,50018
406000,81017,32007,13009,127028,122027,98008,53010,58013,50010
407000,82018,32007,12003,131029,123026,101023,53011,57012,51010
408000,83018,33008,14002,141031,124028,98023,53008,58013,52011
409000,82017,33008,13001,132028,123027,100033,53103,58012,51017
410000,82018,33703,13003,138029,124027,99022,53010,58013,51024
411000,83018,33007,13001,135030,123779,99021,54023,59013,52022
412000,82018,34021,13003,133029,124027,100022,54025,59013,52025
413000,83018,34020,13003,168036,128007,101026,54010,59021,52011
414000,83018,34008,13002,142031,126029,101022,55011,59012,52011
415000,84018,34007,13003,133029,124027,100022,55011,60013,53011
416000,84018,34007,13003,142031,125027,101023,54011,59012,52011
417000,84018,34008,13002,136029,127024,101022,55011,60013,53011
418000,85019,35008,13002,138042,126028,101035,54012,59013,53011
419000,84032,34007,13002,139031,128026,102033,58012,60000,54025
420000,85018,34007,13003,133041,127027,101008,56012,60026,53011
421000,85019,34008,13005,138028,126042,102023,55005,58760,53011
422000,85019,34007,14011,144022,126027,119031,60013,61026,54011
423000,85019,34020,13016,136030,128028,102022,55024,60013,53011
424000,86019,33993,12918,143045,129027,102036,55012,61026,53012
425000,86005,34007,13002,140031,128028,104022,55011,61013,54014
426000,86019,34007,13002,258056,129028,104024,55011,60014,54012
427000,86019,34008,14002,152033,134030,104035,56025,60008,54024
428000,86231,34007,13003,143031,127034,104022,56012,61027,54012
429000,86013,35007,13004,152034,129015,103037,55012,61013,54998
430000,87019,34007,13003,141032,132029,104021,56011,61011,55012
431000,87019,35009,14002,142030,130028,104023,57012,62014,55009
432000,87020,35008,13002,145032,131028,106024,57013,61013,55011
433000,87019,35008,14002,144032,132041,105023,56012,61007,55024
434000,88019,35008,13003,141029,130029,106024,58012,62013,55012
435000,88020,35007,13004,140630,131029,106024,58012,61013,63016
436000,88033,35001,13001,150033,131028,105023,57012,61015,55018
437000,89019,36008,14004,147033,140031,116039,57012,63015,56011
438000,89019,36009,14002,144033,134030,125027,57012,62026,55011
439000,88019,35007,14003,141032,133029,107023,57012,63014,55018
440000,88019,36008,14001,147032,134030,116039,58011,63014,55012
441000,89019,36008,13002,140863,135029,107036,57012,62012,56012
442000,89020,36001,14003,149033,132035,106023,58023,62025,56012
443000,88019,36015,13002,156035,135030,107023,59895,62012,55941
444000,90020,36007,14003,144032,136029,108024,59017,63010,56025
445000,90019,36006,14003,142031,134042,110024,58018,62999,56025
446000,90020,36008,14002,148020,137030,109023,58013,63013,56012
447000,90019,36007,14003,149033,136029,108023,59013,63013,56012
448000,91019,36008,14004,159035,138030,109024,59011,63014,57012
449000,90020,36008,14004,146045,137029,109037,60026,64014,57012
450000,91020,37008,14003,151033,135043,109024,59012,64014,56710
451000,91020,37008,14003,154034,139018,114045,59013,64033,56025
452000,92027,37026,15003,154034,146033,110024,58013,64014,56992
453000,92019,36001,14003,148046,138016,110038,59013,72029,58013
454000,92007,37009,15002,146032,138043,110023,59013,65014,57025
455000,92026,37009,14015,157048,138017,110541,60013,65028,57012
456000,92020,37008,14016,161036,140857,120026,60013,65026,58013
457000,92020,36014,14004,153857,140030,110037,59999,64019,58018
458000,92021,37008,14002,150033,140031,111025,60026,65014,57013
459000,93021,37021,14003,209046,141031,112024,60013,65026,58013
460000,93020,37008,14003,168037,140029,112618,61013,65014,59022
461000,95007,37021,14004,164036,145044,111024,62027,66000,59027
462000,94021,38014,14003,160054,143032,124021,59019,66028,59012
463000,94021,38008,14003,157028,142038,114025,61013,66031,59012
