,STL Sort,Radix Sort(Base 10),Radix Sort(Base 2^16),Shell Sort,Heap Sort,Merge Sort,Quick Sort(Three Way),Quick Sort(Randomized),Quick Sort(Simple)
7500000,1754392,612135,253057,4101914,4300973,2288505,1086222,1223273,1039231
7600000,1781410,622252,254043,4635189,4223696,2183487,1089243,1196267,1042233
7700000,1810404,617137,258059,3941980,4549002,2185486,1106261,1173255,1080233
7800000,1832409,632141,262059,4762571,4451035,2518575,1127251,1194273,1078241
7900000,1857395,633141,263077,4294490,4553016,2418567,1204269,1195778,1105259
8000000,1880420,654146,275048,5513418,5166751,2555577,1176249,1242277,1140254
8100000,1904424,659177,272061,4948118,4630063,2573575,1251293,1387309,1132258
8200000,1922429,669143,284065,4236960,4983113,2462550,1193267,1257275,1124251
8300000,1980698,675151,278075,4546009,4750711,2712606,1192662,1320313,1156265
8400000,1976420,689154,284063,4833320,5225832,2740661,1202268,1288621,1192265
8500000,1996626,699155,288070,5167369,5113308,2824702,1297918,1295289,1347301
8600000,2036455,708158,290077,5320605,5842488,2753602,1352302,1452324,1213271
8700000,2041456,714159,292071,5858314,5186159,2924653,1235276,1332303,1360309
8800000,2068462,738152,297079,5259979,5221166,2686598,1260282,1526341,1232275
8900000,2100893,726755,311070,5097022,5183464,2705595,1322296,1356302,1224272
9000000,2149494,734177,303067,5374213,5274177,2623586,1279287,1454342,1247264
9100000,2170484,737681,309069,4972956,5373929,2611297,1293820,1382320,1357303
9200000,2193643,754166,308068,5494228,5410228,2875622,1324294,1413315,1318294
9300000,2217496,754167,312067,4581025,5503367,3157934,1393614,1483701,1326439
9400000,2242266,774432,320072,4764063,5655289,2890641,1445460,1586343,1289273
9500000,2278027,780387,323059,5479457,5787293,3085754,1354315,1477330,1311299
9600000,2280503,796191,321071,6246954,6134647,2971676,1573351,1485330,1325296
9700000,2315155,785188,329073,7738746,5837503,3018281,1440424,1634364,1346301
9800000,2346546,801178,331080,5164145,6031318,2925167,1415315,1515345,1378835
9900000,2363527,812701,339096,5532294,5820829,2953244,1411480,1591588,1578779
10000000,2400682,809741,336675,5686910,5969410,3233735,1479317,1573370,1394297
10100000,2424763,831186,342081,5909117,6187635,3270730,1479315,1574352,1380307
10200000,2447546,816195,346082,5735233,6116387,3253559,1459326,1589348,1497653
10300000,2463562,821182,344077,5717805,6541252,3252726,1463605,1584354,1458234
10400000,2501558,853191,360086,6095135,6211981,3038659,1524868,1759479,1470925
10500000,2514561,859179,353079,6889314,6435669,3258424,1604543,1676374,1650369
10600000,2522563,872180,365665,6603548,6333741,3121170,1512339,1728502,1578352
10700000,2554571,872194,360074,6699202,6472706,3103707,1581353,1862409,1731387
10800000,2576582,887190,375084,7088127,6757496,3229725,1556355,1673374,1547352
10900000,2596580,895205,368082,6973566,7282631,3770842,1724124,1668373,1614353
11000000,2639073,905202,377085,5564754,6726515,3670820,1578338,1812435,1643381
11100000,2644590,916204,374083,6689694,6832526,3764841,1654356,1732399,1551346
11200000,2674299,914215,378083,6792347,7487958,3786094,1602170,1753392,1611339
11300000,2705826,927207,386092,6847183,6794521,3731585,1707581,1766570,1642353
11400000,2763618,924355,387744,6661481,7036842,3790846,1695385,1842412,1639366
11500000,2759616,947190,394087,6217160,7263407,3606897,1814032,1847412,1582353
11600000,2786272,957318,390694,7988400,7501923,3919921,1714116,1828408,1699366
